name,time,Kd,Ki,Kp,value
co2_start_at_03,1695747997889841359,0,0,0.08,969.5
co2_start_at_03,1695748018456969210,0,0,0.08,994.6666666666666
co2_start_at_03,1695748038993855598,0,0,0.08,975
co2_start_at_03,1695748059582489433,0,0,0.08,973.3333333333334
co2_start_at_03,1695748080127816854,0,0,0.08,972.8333333333334
co2_start_at_03,1695748100674633183,0,0,0.08,973.3333333333334
co2_start_at_03,1695748121278939279,0,0,0.08,976.3333333333334
co2_start_at_03,1695748141828133411,0,0,0.08,988.6666666666666
co2_start_at_03,1695748162376574017,0,0,0.08,1001.6666666666666
co2_start_at_03,1695748182877328730,0,0,0.08,1006.6666666666666
co2_start_at_03,1695748203285486986,0,0,0.08,1010
co2_start_at_03,1695748223805571503,0,0,0.08,1031.1666666666667
co2_start_at_03,1695748244322361192,0,0,0.08,1033.1666666666667
co2_start_at_03,1695748264845330633,0,0,0.08,1033.1666666666667
co2_start_at_03,1695748285394478668,0,0,0.08,1032.8333333333333
co2_start_at_03,1695748305947495337,0,0,0.08,1031
co2_start_at_03,1695748326455032882,0,0,0.08,1026.6666666666667
co2_start_at_03,1695748346989865706,0,0,0.08,1020
co2_start_at_03,1695748367532979374,0,0,0.08,1014.3333333333334
co2_start_at_03,1695748388042736483,0,0,0.08,1004.6666666666666
co2_start_at_03,1695748408557957686,0,0,0.08,998
co2_start_at_03,1695748429099238940,0,0,0.08,992.1666666666666
co2_start_at_03,1695748449700037700,0,0,0.08,983.5
co2_start_at_03,1695748470281959216,0,0,0.08,988.8333333333334
co2_start_at_03,1695748490831996374,0,0,0.08,968.1666666666666
co2_start_at_03,1695748511392920035,0,0,0.08,963.8333333333334
co2_start_at_03,1695748531814876296,0,0,0.08,962.3333333333334
co2_start_at_03,1695748552121806034,0,0,0.08,961.8333333333334
co2_start_at_03,1695748572713584259,0,0,0.08,964.6666666666666
co2_start_at_03,1695748593249567184,0,0,0.08,973
co2_start_at_03,1695748613796985094,0,0,0.08,992.3333333333334
co2_start_at_03,1695748634368016213,0,0,0.08,1012.3333333333334
co2_start_at_03,1695748654896673797,0,0,0.08,1032
co2_start_at_03,1695748675341471659,0,0,0.08,1057.5
co2_start_at_03,1695748695855426762,0,0,0.08,1052.5
co2_start_at_03,1695748716376185601,0,0,0.08,1040.5
co2_start_at_03,1695748736985691653,0,0,0.08,1054.3333333333333
co2_start_at_03,1695748757478624009,0,0,0.08,1051.1666666666667
co2_start_at_03,1695748778000072319,0,0,0.09,1043.8333333333333
co2_start_at_03,1695748798566294794,0,0,0.09,1036.5
co2_start_at_03,1695748819115189774,0,0,0.09,1026.6666666666667
co2_start_at_03,1695748839545275802,0,0,0.09,1014.6666666666666
co2_start_at_03,1695748860073195081,0,0,0.09,1004.3333333333334
co2_start_at_03,1695748880611262504,0,0,0.09,995.3333333333334
co2_start_at_03,1695748901206673349,0,0,0.09,986.1666666666666
co2_start_at_03,1695748921752737431,0,0,0.09,979.6666666666666
co2_start_at_03,1695748942327296836,0,0,0.09,970.6666666666666
co2_start_at_03,1695748962727869484,0,0,0.09,964.6666666666666
co2_start_at_03,1695748983169287475,0,0,0.09,959.6666666666666
co2_start_at_03,1695749003725805906,0,0,0.09,959.6666666666666
co2_start_at_03,1695749024256049428,0,0,0.09,966.8333333333334
co2_start_at_03,1695749044805167763,0,0,0.09,986.3333333333334
co2_start_at_03,1695749065359621625,0,0,0.09,1008
